Age (ka),Insolation (W/m^2)
570,469.143096
571,478.8695213
572,491.0917258
573,504.9674481
574,519.1247577
575,531.8744968
576,541.4369399
577,546.5587259
578,546.7975802
579,542.5470947
580,534.8864261
581,525.017151
582,514.0428564
583,502.8145238
584,491.8506
585,481.535391
586,472.1467205
587,463.9753569
588,457.4508277
589,453.0229658
590,451.2238567
591,452.5578464
592,457.3777886
593,465.7212641
594,477.1283085
595,490.5113687
596,504.0934503
597,515.7451748
598,523.5332892
599,526.3035603
600,524.0671235
601,517.8319163
602,509.0051262
603,499.018286
604,488.9325639
605,479.4555244
606,470.9948046
607,463.8083912
608,458.1471659
609,454.2691353
610,452.5395042
611,453.286034
612,456.8351111
613,463.3262665
614,472.6374764
615,484.2420412
616,497.1707718
617,510.0771365
618,521.4000554
619,529.7773347
620,534.3996011
621,535.078695
622,532.3279261
623,526.949945
624,519.9104458
625,512.045452
626,503.9883281
627,496.2126336
628,489.1054045
629,482.8772737
630,477.7916789
631,473.9646835
632,471.5286932
633,470.4851732
634,470.7932039
635,472.2450469
636,474.6148958
637,477.5577561
638,480.7738855
639,483.9480145
640,486.9074351
641,489.5471685
642,491.8524458
643,493.8961358
644,495.7611339
645,497.495371
646,499.1702007
647,500.7148233
648,502.0314587
649,502.9906243
650,503.4254688
651,503.1667193
652,502.1117067
653,500.2674248
654,497.6509792
655,494.4424237
656,490.8076749
657,487.0198602
658,483.3301283
659,480.0481068
660,477.4967947
661,476.0305628
662,475.9964021
663,477.643622
664,481.2068659
665,486.6448276
666,493.7121016
667,501.7711107
668,509.8539109
669,516.7716557
670,521.3716234
671,522.8106738
672,520.852607
673,515.7971143
674,508.3965736
675,499.5355671
676,490.0897333
677,480.7097122
678,471.8946517
679,464.064703
680,457.5487851
681,452.7351529
682,450.0399754
683,449.9095372
684,452.7511408
685,458.8072018
686,468.039657
687,479.9904848
688,493.6244087
689,507.4013441
690,519.4805253
691,528.2540466
692,532.6798012
693,532.7096456
694,529.0012472
695,522.6470921
696,514.7939972
697,506.3554086
698,497.9983257
699,490.1356555
700,483.0852946
701,477.0976271
702,472.4697173
703,469.5025392
704,468.548372
705,469.8876379
706,473.6541996
707,479.7419026
708,487.7241111
709,496.7770035
710,505.7485574
711,513.3304579
712,518.3834208
713,520.1637096
714,518.5604873
715,514.0093458
716,507.3069704
717,499.3645287
718,490.9809194
719,482.8320834
720,475.4278749
721,469.1269924
722,464.2778748
723,461.1383048
724,459.9054948
725,460.753102
726,463.6444414
727,468.4616633
728,474.7887925
729,482.0677695
730,489.5219602
731,496.3914205
732,501.9802261
733,505.8798507
734,507.9470952
735,508.3344934
736,507.3656614
737,505.4892708
738,503.1424139
739,500.7149852
740,498.5489226
741,496.9279465
742,496.0413888
743,495.989637
744,496.7973067
745,498.3661747
746,500.4306992
747,502.6541743
748,504.5942333
749,505.8246558
750,506.0328012
751,505.0077259
752,502.7550011
753,499.420479
754,495.3486287
755,490.8733976
756,486.4205307
